name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,preferred_foot
Y. Tielemans,5/7/1997,21,175.26,72.1,"CM,CDM",Belgium,78,87,16000000.0,Right
S. Lobotka,11/25/1994,24,170.18,64.0,"CM,CDM",Slovakia,78,84,14000000.0,Right
M. Philipp,3/1/1994,25,182.88,78.9,"ST,CF,LM,CAM",Germany,78,83,14000000.0,Right
L. Dubois,9/14/1994,24,152.4,73.0,"RB,RWB",France,78,82,11000000.0,Right
L. Dunk,11/21/1991,27,193.04,88.0,CB,England,78,81,11000000.0,Right
C. Schindler,4/29/1990,28,187.96,77.1,CB,Germany,78,80,10000000.0,Right
Y. Konoplyanka,9/29/1989,29,152.4,78.0,"LM,LW,ST",Ukraine,78,78,10500000.0,Right
Pedro Mendes,10/1/1990,28,185.42,78.0,CB,Portugal,78,80,10000000.0,Right
R. Saponara,12/21/1991,27,182.88,73.0,CAM,Italy,78,78,11000000.0,Right
L. Kurzawa,9/4/1992,26,182.88,76.2,"LB,LWB",France,78,81,10500000.0,Left
M. Hinteregger,9/7/1992,26,182.88,83.0,CB,Austria,78,80,10500000.0,Left
D. da Costa,7/13/1993,25,187.96,88.0,"RWB,RB,RM",Germany,78,80,10500000.0,Right
Fernando,3/3/1992,27,175.26,79.8,"CDM,CM",Brazil,78,80,10500000.0,Right
W. Boly,2/3/1991,28,195.58,97.1,CB,France,78,80,10000000.0,Right
A. Schwolow,6/2/1992,26,187.96,83.9,GK,Germany,78,79,8500000.0,Right
G. Defrel,6/17/1991,27,152.4,77.1,"ST,RW",France,78,78,11000000.0,Left
Álvaro,1/8/1990,29,182.88,74.8,CB,Spain,78,79,9500000.0,Right
L. Bittencourt,12/19/1993,25,170.18,62.1,"CAM,CM,LM",Germany,78,81,13000000.0,Right
A. Carrillo,6/14/1991,27,154.94,78.0,"RM,RW",Peru,78,78,11000000.0,Right
M. Elyounoussi,8/4/1994,24,152.4,69.9,"LM,CAM,RM",Norway,78,83,14000000.0,Right
O. Karnezis,7/11/1985,33,190.5,81.2,GK,Greece,78,78,6000000.0,Right
De Marcos,4/14/1989,29,182.88,79.8,"RB,RW",Spain,78,78,8000000.0,Right
R. Cabella,3/8/1990,29,170.18,71.2,CAM,France,78,78,10500000.0,Right
J. Hart,4/19/1987,31,195.58,91.2,GK,England,78,78,6500000.0,Right
Jurado,6/29/1986,32,175.26,72.1,"RM,CAM,LM",Spain,78,78,8000000.0,Right
E. Hernández,4/29/1988,30,170.18,64.9,RM,Mexico,78,78,10000000.0,Right
D. Ginczek,4/13/1991,27,190.5,84.8,ST,Germany,78,79,12000000.0,Right
Lucas Pérez,9/10/1988,30,154.94,73.0,"ST,RM",Spain,78,78,10500000.0,Left
J. Farfán,10/26/1984,34,152.4,83.9,"RM,ST",Peru,78,78,6500000.0,Right
A. Begović,6/20/1987,31,198.12,83.0,GK,Bosnia Herzegovina,78,78,6500000.0,Right
Hilton,9/13/1977,41,154.94,78.0,CB,Brazil,78,78,,Right
J. Baumgartlinger,1/2/1988,31,182.88,86.2,CDM,Austria,78,78,7500000.0,Right
Granero,7/2/1987,31,154.94,78.0,"CM,LM,RM",Spain,78,78,9500000.0,Right
Z. Junuzović,9/26/1987,31,172.72,72.1,"CM,CAM,LM",Austria,78,78,9500000.0,Right
V. Moses,12/12/1990,28,152.4,77.1,"RW,RWB",Nigeria,78,78,11000000.0,Right
M. Debuchy,7/28/1985,33,175.26,76.2,RB,France,78,78,5500000.0,Right
G. Maripán,5/6/1994,24,193.04,83.0,CB,Chile,77,81,10000000.0,Right
Iván Cuéllar,5/27/1984,34,187.96,76.2,GK,Spain,77,77,3600000.0,Left
F. Johnson,12/11/1987,31,182.88,73.9,"LM,RB",United States,77,77,8500000.0,Right
Aarón Martín,4/22/1997,21,154.94,72.1,LB,Spain,77,84,10500000.0,Left
G. Pereiro,6/11/1995,23,187.96,76.2,"CAM,RW",Uruguay,77,82,12000000.0,Left
B. Moukandjo,11/12/1988,30,154.94,73.9,"ST,RM",Cameroon,77,77,9000000.0,Right
M. Harnik,6/10/1987,31,185.42,79.8,"ST,RM",Austria,77,77,8000000.0,Right
J. Ward-Prowse,11/1/1994,24,172.72,66.2,"RM,CM",England,77,82,12000000.0,Right
R. Alessandrini,4/3/1989,29,172.72,69.9,"RM,LM,RW,CAM",France,78,78,10000000.0,Left
Manu García,4/26/1986,32,182.88,73.9,"CDM,CM",Spain,78,78,6000000.0,Left
M. Antonio,3/28/1990,28,152.4,82.1,"ST,RM,RWB,LM",England,78,78,10500000.0,Right
Adrien Silva,3/15/1989,29,175.26,68.9,"CM,CDM",Portugal,78,78,10000000.0,Right
S. Cook,4/19/1991,27,185.42,82.1,CB,England,78,78,8500000.0,Right
B. Mee,9/23/1989,29,182.88,82.1,CB,England,78,78,8500000.0,Left
Adriano,10/26/1984,34,172.72,74.8,"LB,RB",Brazil,78,78,4000000.0,Left
J. Lens,11/24/1987,31,152.4,74.8,"RM,RW",Netherlands,78,78,10000000.0,Right
S. Rondón,9/16/1989,29,185.42,98.0,ST,Venezuela,77,77,9000000.0,Right
Andreas Pereira,1/1/1996,23,152.4,71.2,"CM,CDM,RM",Brazil,77,82,11500000.0,Right
V. Ibišević,8/6/1984,34,187.96,82.1,ST,Bosnia Herzegovina,77,77,5500000.0,Right
L. Ocampos,7/11/1994,24,187.96,83.9,"LM,LW",Argentina,77,82,12000000.0,Right
N. Müller,9/25/1987,31,172.72,66.2,"RM,LM",Germany,77,77,8500000.0,Right
Simão Acunha,2/29/1988,31,152.4,71.2,"CAM,ST,RM",Brazil,77,77,8500000.0,Right
J. Calleri,9/23/1993,25,154.94,77.1,ST,Argentina,77,82,12000000.0,Right
A. Jahanbakhsh,8/11/1993,25,154.94,78.0,RM,Iran,77,80,11500000.0,Right
A. Prijović,4/21/1990,28,190.5,88.0,ST,Serbia,77,77,9000000.0,Right
Fabricio,12/17/1987,31,182.88,79.8,GK,Spain,77,77,5500000.0,Right
M. Elneny,7/11/1992,26,154.94,73.9,"CDM,CM",Egypt,77,79,9000000.0,Right
Jorge Meré,4/17/1997,21,182.88,79.8,CB,Spain,77,85,11500000.0,Right
Wilson Eduardo,7/8/1990,28,152.4,73.0,"ST,CF",Portugal,77,77,9500000.0,Right
Álex Remiro,3/24/1995,23,190.5,83.0,GK,Spain,77,82,8500000.0,Right
T. Gutiérrez,5/17/1985,33,152.4,81.2,"ST,CAM",Colombia,77,77,5500000.0,Right
A. Pyatov,6/28/1984,34,190.5,89.8,GK,Ukraine,77,77,3600000.0,Right
Diego Llorente,8/16/1993,25,185.42,74.8,CB,Spain,77,83,10500000.0,Right
I. Abate,11/12/1986,32,154.94,73.0,RB,Italy,77,77,6000000.0,Right
